,winner,loser,court,Type,set1.1,set1.2,set2.1,set2.2,set3.1,set3.2
53,Dudi Sela,Hyeon Chung,Outdoor,Hard,6,2,6,2,0,0
54,Benoit Paire,Konstantin Kravchuk,Outdoor,Hard,6,3,6,4,0,0
55,Hyeon Chung,Borna Coric,Outdoor,Hard,6,3,7,5,0,0
56,Mikhail Youzhny,Saketh Myneni,Outdoor,Hard,6,4,6,3,0,0
57,Yen-Hsun Lu,Radu Albot,Outdoor,Hard,6,2,6,1,0,0
58,Aljaz Bedene,Guillermo Garcia-Lopez,Outdoor,Hard,6,3,6,3,0,0
59,Yuki Bhambri,Ramkumar Ramanathan,Outdoor,Hard,6,1,6,1,0,0
60,Steve Darcis,Nikola Mektic,Outdoor,Hard,6,2,6,3,0,0
61,Rogerio Dutra Silva,Dusan Lajovic,Outdoor,Hard,7,6,4,6,7,6
62,Jozef Kovalik,Gastao Elias,Outdoor,Hard,6,7,6,4,6,2
63,Daniil Medvedev,Thiago Monteiro,Outdoor,Hard,6,3,6,3,0,0
64,Renzo Olivo,Casper Ruud,Outdoor,Hard,7,6,6,2,0,0
65,Dudi Sela,Damir Dzumhur,Outdoor,Hard,6,2,6,2,0,0
66,Hyeon Chung,Jurgen Melzer,Outdoor,Hard,6,0,7,6,0,0
67,Yuki Bhambri,Nicolas Kicker,Outdoor,Hard,6,3,6,1,0,0
68,Jozef Kovalik,Prajnesh Gunneswaran,Outdoor,Hard,7,6,6,2,0,0
69,Nikola Mektic,Marco Trungelliti,Outdoor,Hard,7,5,6,2,0,0
70,Hyeon Chung,Miljan Zekic,Outdoor,Hard,6,1,6,3,0,0
71,Nicolas Kicker,Sasi Kumar Mukund,Outdoor,Hard,6,7,6,3,7,5
72,Jozef Kovalik,Franko Skugor,Outdoor,Hard,6,3,6,4,0,0
73,Marco Trungelliti,Alessandro Bega,Outdoor,Hard,6,0,6,4,0,0
74,Jurgen Melzer,Steven Diez,Outdoor,Hard,6,1,6,1,0,0
75,Prajnesh Gunneswaran,Hiroki Moriya,Outdoor,Hard,6,2,6,3,0,0
76,Nikola Mektic,Federico Gaio,Outdoor,Hard,6,3,6,0,0,0
77,Yuki Bhambri,Marco Cecchinato,Outdoor,Hard,7,5,6,1,0,0
78,Novak Djokovic,Andy Murray,Outdoor,Hard,6,3,5,7,6,4
79,Andy Murray,Tomas Berdych,Outdoor,Hard,6,3,6,4,0,0
80,Novak Djokovic,Fernando Verdasco,Outdoor,Hard,4,6,7,6,6,3
81,Andy Murray,Nicolas Almagro,Outdoor,Hard,7,6,7,5,0,0
82,Novak Djokovic,Radek Stepanek,Outdoor,Hard,6,3,6,3,0,0
83,Tomas Berdych,Jo-Wilfried Tsonga,Outdoor,Hard,7,5,6,3,0,0
84,Fernando Verdasco,Ivo Karlovic,Outdoor,Hard,6,2,7,5,0,0
85,Andy Murray,Gerald Melzer,Outdoor,Hard,7,6,7,5,0,0
86,Novak Djokovic,Horacio Zeballos,Outdoor,Hard,6,3,6,4,0,0
87,Tomas Berdych,Jiri Vesely,Outdoor,Hard,7,6,1,6,6,1
88,Fernando Verdasco,David Goffin,Outdoor,Hard,6,1,7,6,0,0
89,Jo-Wilfried Tsonga,Dustin Brown,Outdoor,Hard,6,1,6,3,0,0
90,Ivo Karlovic,Karen Khachanov,Outdoor,Hard,7,6,7,6,0,0
91,Nicolas Almagro,Philipp Kohlschreiber,Outdoor,Hard,7,6,7,6,0,0
92,Radek Stepanek,Arthur De Greef,Outdoor,Hard,6,3,6,2,0,0
93,Andy Murray,Jeremy Chardy,Outdoor,Hard,6,0,7,6,0,0
94,Novak Djokovic,Jan-Lennard Struff,Outdoor,Hard,7,6,6,3,0,0
95,Tomas Berdych,Alessandro Giannessi,Outdoor,Hard,7,6,6,2,0,0
96,David Goffin,Robin Haase,Outdoor,Hard,7,6,6,2,0,0
97,Jo-Wilfried Tsonga,Andrey Kuznetsov,Outdoor,Hard,6,1,4,6,6,2
98,Ivo Karlovic,Illya Marchenko,Outdoor,Hard,7,6,7,6,0,0
99,Philipp Kohlschreiber,Malek Jaziri,Outdoor,Hard,6,2,7,6,0,0
100,Radek Stepanek,Marcos Baghdatis,Outdoor,Hard,6,4,5,3,(,R
101,Nicolas Almagro,Paolo Lorenzi,Outdoor,Hard,7,6,4,6,6,3
102,Dustin Brown,Facundo Bagnis,Outdoor,Hard,6,1,6,7,6,4
103,Arthur De Greef,Mohamed Safwat,Outdoor,Hard,6,7,7,5,6,4
104,Karen Khachanov,Mubarak Shannan Zayid,Outdoor,Hard,6,1,6,3,0,0
105,Gerald Melzer,Paul-Henri Mathieu,Outdoor,Hard,6,7,6,3,6,2
106,Fernando Verdasco,Vasek Pospisil,Outdoor,Hard,7,5,6,0,0,0
107,Jiri Vesely,Anil Yuksel,Outdoor,Hard,6,2,6,3,0,0
108,Horacio Zeballos,Florian Mayer,Outdoor,Hard,6,7,6,4,7,6
109,Vasek Pospisil,Nikoloz Basilashvili,Outdoor,Hard,6,2,6,1,0,0
110,Radek Stepanek,Enrique Lopez-Perez,Outdoor,Hard,6,1,6,4,0,0
