,winner,loser,court,Type,set1.1,set1.2,set2.1,set2.2,set3.1,set3.2
896,Joao Sousa,Renzo Olivo,Outdoor,Clay,6,2,6,4,0,0
897,Fabio Fognini,Alessandro Giannessi,Outdoor,Clay,7,6,7,6,0,0
898,Diego Schwartzman,Gerald Melzer,Outdoor,Clay,6,2,6,2,0,0
899,Federico Delbonis,Casper Ruud,Outdoor,Clay,7,5,6,3,0,0
900,Guido Pella,Carlos Berlocq,Outdoor,Clay,7,5,6,3,0,0
901,Fabio Fognini,Marco Cecchinato,Outdoor,Clay,6,4,7,6,0,0
902,Diego Schwartzman,Thomaz Bellucci,Outdoor,Clay,6,2,6,0,0,0
903,Federico Delbonis,Jozef Kovalik,Outdoor,Clay,6,4,7,6,0,0
904,Carlos Berlocq,Thiago Monteiro,Outdoor,Clay,4,6,6,4,6,4
905,Facundo Bagnis,Dusan Lajovic,Outdoor,Clay,6,2,7,5,0,0
906,Gastao Elias,Orlando Luz,Outdoor,Clay,6,2,7,5,0,0
907,Alessandro Giannessi,Rogerio Dutra Silva,Outdoor,Clay,6,4,6,3,0,0
908,Gerald Melzer,Victor Estrella Burgos,Outdoor,Clay,6,2,7,6,0,0
909,Renzo Olivo,Inigo Cervantes,Outdoor,Clay,7,6,6,4,0,0
910,Guido Pella,Guilherme Clezar,Outdoor,Clay,6,2,6,3,0,0
911,Casper Ruud,Akira Santillan,Outdoor,Clay,6,4,6,4,0,0
912,Joao Souza,Horacio Zeballos,Outdoor,Clay,6,2,7,6,0,0
913,Jozef Kovalik,Roberto Carballes Baena,Outdoor,Clay,6,3,1,6,6,1
914,Marco Cecchinato,Nicolas Kicker,Outdoor,Clay,6,1,5,7,6,2
915,Alessandro Giannessi,Guido Andreozzi,Outdoor,Clay,4,6,7,6,2,0
916,Guilherme Clezar,Arthur De Greef,Outdoor,Clay,7,5,6,0,0,0
917,Jozef Kovalik,Joao Pedro Sorgi,Outdoor,Clay,6,2,6,1,0,0
918,Guilherme Clezar,Taro Daniel,Outdoor,Clay,7,5,6,2,0,0
919,Nicolas Kicker,Gustavo Teisen Pereira,Outdoor,Clay,6,0,6,0,0,0
920,Alessandro Giannessi,Federico Coria,Outdoor,Clay,6,0,(,R,0,0
921,Roberto Carballes Baena,Jordi Samper-Montana,Outdoor,Clay,6,2,6,2,0,0
922,Guido Andreozzi,Maximo Gonzalez,Outdoor,Clay,6,3,7,6,0,0
923,Arthur De Greef,Caio Zampieri,Outdoor,Clay,6,2,6,4,0,0
924,Marco Cecchinato,Leonardo Mayer,Outdoor,Clay,6,4,2,6,6,3
925,Roger Federer,Stan Wawrinka,Outdoor,Hard,6,4,7,5,0,0
926,Stan Wawrinka,Pablo Carreno Busta,Outdoor,Hard,6,3,6,2,0,0
927,Roger Federer,Jack Sock,Outdoor,Hard,6,1,7,6,0,0
928,Stan Wawrinka,Dominic Thiem,Outdoor,Hard,6,4,4,6,7,6
929,Jack Sock,Kei Nishikori,Outdoor,Hard,6,3,2,6,6,2
930,Roger Federer,Nick Kyrgios,Outdoor,Hard,(,W,0,0,0,0
931,Pablo Carreno Busta,Pablo Cuevas,Outdoor,Hard,6,1,3,6,7,6
932,Nick Kyrgios,Novak Djokovic,Outdoor,Hard,6,4,7,6,0,0
933,Stan Wawrinka,Yoshihito Nishioka,Outdoor,Hard,3,6,6,3,7,6
934,Kei Nishikori,Donald Young,Outdoor,Hard,6,2,6,4,0,0
935,Roger Federer,Rafael Nadal,Outdoor,Hard,6,2,6,3,0,0
936,Dominic Thiem,Gael Monfils,Outdoor,Hard,6,3,6,2,0,0
937,Pablo Cuevas,David Goffin,Outdoor,Hard,6,3,3,6,6,3
938,Jack Sock,Malek Jaziri,Outdoor,Hard,4,6,7,6,7,5
939,Pablo Carreno Busta,Dusan Lajovic,Outdoor,Hard,6,4,7,6,0,0
940,Novak Djokovic,Juan Martin del Potro,Outdoor,Hard,7,5,4,6,6,1
941,Stan Wawrinka,Philipp Kohlschreiber,Outdoor,Hard,7,5,6,3,0,0
942,Kei Nishikori,Gilles Muller,Outdoor,Hard,6,2,6,2,0,0
943,Rafael Nadal,Fernando Verdasco,Outdoor,Hard,6,3,7,5,0,0
944,Dominic Thiem,Mischa Zverev,Outdoor,Hard,6,1,6,4,0,0
945,Roger Federer,Steve Johnson,Outdoor,Hard,7,6,7,6,0,0
946,Gael Monfils,John Isner,Outdoor,Hard,6,2,6,4,0,0
947,David Goffin,Albert Ramos-Vinolas,Outdoor,Hard,7,6,6,4,0,0
948,Jack Sock,Grigor Dimitrov,Outdoor,Hard,3,6,6,3,7,6
949,Yoshihito Nishioka,Tomas Berdych,Outdoor,Hard,1,6,7,6,6,4
950,Donald Young,Lucas Pouille,Outdoor,Hard,6,4,1,6,6,3
951,Nick Kyrgios,Alexander Zverev,Outdoor,Hard,6,3,6,4,0,0
952,Pablo Carreno Busta,Roberto Bautista Agut,Outdoor,Hard,(,W,0,0,0,0
953,Pablo Cuevas,Fabio Fognini,Outdoor,Hard,6,1,6,4,0,0
954,Malek Jaziri,Taylor Fritz,Outdoor,Hard,6,4,3,6,6,3
955,Dusan Lajovic,Vasek Pospisil,Outdoor,Hard,6,7,6,3,7,5
956,Vasek Pospisil,Andy Murray,Outdoor,Hard,6,4,7,6,0,0
957,Novak Djokovic,Kyle Edmund,Outdoor,Hard,6,4,7,6,0,0
958,Stan Wawrinka,Paolo Lorenzi,Outdoor,Hard,6,3,6,4,0,0
959,Kei Nishikori,Daniel Evans,Outdoor,Hard,6,3,6,4,0,0
960,Rafael Nadal,Guido Pella,Outdoor,Hard,6,3,6,2,0,0
961,Taylor Fritz,Marin Cilic,Outdoor,Hard,4,6,7,5,6,4
962,Fabio Fognini,Jo-Wilfried Tsonga,Outdoor,Hard,7,6,3,6,6,4
963,Dominic Thiem,Jeremy Chardy,Outdoor,Hard,6,2,6,4,0,0
964,Roger Federer,Stephane Robert,Outdoor,Hard,6,2,6,1,0,0
965,Gael Monfils,Darian King,Outdoor,Hard,3,6,6,0,6,1
966,David Goffin,Karen Khachanov,Outdoor,Hard,6,4,3,6,6,3
967,Grigor Dimitrov,Mikhail Youzhny,Outdoor,Hard,6,4,6,0,0,0
968,Tomas Berdych,Bjorn Fratangelo,Outdoor,Hard,7,6,6,4,0,0
969,Lucas Pouille,Jan-Lennard Struff,Outdoor,Hard,6,3,6,2,0,0
970,Nick Kyrgios,Horacio Zeballos,Outdoor,Hard,6,3,6,4,0,0
971,Roberto Bautista Agut,Adrian Mannarino,Outdoor,Hard,7,5,6,2,0,0
972,Jack Sock,Henri Laaksonen,Outdoor,Hard,6,3,0,6,6,4
973,Alexander Zverev,Facundo Bagnis,Outdoor,Hard,7,6,6,3,0,0
974,Yoshihito Nishioka,Ivo Karlovic,Outdoor,Hard,6,4,6,3,0,0
975,John Isner,Mikhail Kukushkin,Outdoor,Hard,7,6,7,6,0,0
976,Pablo Carreno Busta,Peter Gojowczyk,Outdoor,Hard,7,5,6,2,0,0
977,Albert Ramos-Vinolas,Damir Dzumhur,Outdoor,Hard,6,4,5,7,7,5
978,Donald Young,Sam Querrey,Outdoor,Hard,6,3,3,6,6,3
979,Steve Johnson,Kevin Anderson,Outdoor,Hard,6,4,3,6,7,6
980,Gilles Muller,Jiri Vesely,Outdoor,Hard,7,6,6,1,0,0
981,Fernando Verdasco,Pierre-Hugues Herbert,Outdoor,Hard,7,6,6,1,0,0
982,Pablo Cuevas,Martin Klizan,Outdoor,Hard,7,6,7,6,0,0
983,Philipp Kohlschreiber,Alexandr Dolgopolov,Outdoor,Hard,6,7,1,1,(,R
984,Mischa Zverev,Joao Sousa,Outdoor,Hard,6,4,6,3,0,0
985,Dusan Lajovic,Feliciano Lopez,Outdoor,Hard,6,2,4,6,7,6
986,Juan Martin del Potro,Federico Delbonis,Outdoor,Hard,7,6,6,3,0,0
987,Malek Jaziri,Marcel Granollers,Outdoor,Hard,7,5,6,3,0,0
988,Kevin Anderson,Federico Gaio,Outdoor,Hard,6,1,6,4,0,0
989,Facundo Bagnis,Julien Benneteau,Outdoor,Hard,5,7,6,4,6,2
990,Jeremy Chardy,Radu Albot,Outdoor,Hard,7,6,6,2,0,0
991,Federico Delbonis,Andrey Kuznetsov,Outdoor,Hard,6,3,6,4,0,0
992,Alexandr Dolgopolov,Viktor Troicki,Outdoor,Hard,6,1,6,4,0,0
993,Damir Dzumhur,Ryan Harrison,Outdoor,Hard,6,4,3,6,7,5
994,Kyle Edmund,Gastao Elias,Outdoor,Hard,6,1,6,3,0,0
995,Daniel Evans,Dustin Brown,Outdoor,Hard,6,1,6,1,0,0
996,Fabio Fognini,Konstantin Kravchuk,Outdoor,Hard,0,6,7,5,6,4
997,Bjorn Fratangelo,Bernard Tomic,Outdoor,Hard,6,2,6,2,0,0
998,Taylor Fritz,Benoit Paire,Outdoor,Hard,6,3,6,2,0,0
999,Peter Gojowczyk,Reilly Opelka,Outdoor,Hard,6,4,3,6,6,1
1000,Pierre-Hugues Herbert,Thomaz Bellucci,Outdoor,Hard,7,6,6,7,6,3
1001,Malek Jaziri,Nicolas Mahut,Outdoor,Hard,6,3,6,2,0,0
1002,Karen Khachanov,Tommy Robredo,Outdoor,Hard,6,1,7,5,0,0
1003,Darian King,Nikoloz Basilashvili,Outdoor,Hard,7,5,7,5,0,0
1004,Martin Klizan,Thiago Monteiro,Outdoor,Hard,7,6,6,3,0,0
1005,Mikhail Kukushkin,Jordan Thompson,Outdoor,Hard,1,6,6,1,3,0
1006,Henri Laaksonen,Borna Coric,Outdoor,Hard,3,6,6,4,6,2
1007,Dusan Lajovic,Frances Tiafoe,Outdoor,Hard,6,3,6,3,0,0
1008,Paolo Lorenzi,Robin Haase,Outdoor,Hard,6,4,6,3,0,0
1009,Adrian Mannarino,Juan Monaco,Outdoor,Hard,6,3,6,7,6,1
1010,Yoshihito Nishioka,Elias Ymer,Outdoor,Hard,6,4,6,1,0,0
1011,Guido Pella,Guillermo Garcia-Lopez,Outdoor,Hard,4,6,7,5,6,2
1012,Vasek Pospisil,Yen-Hsun Lu,Outdoor,Hard,6,7,6,4,6,3
1013,Stephane Robert,Dudi Sela,Outdoor,Hard,6,4,6,4,0,0
1014,Joao Sousa,Diego Schwartzman,Outdoor,Hard,4,6,6,3,6,4
1015,Jan-Lennard Struff,Santiago Giraldo,Outdoor,Hard,6,3,6,4,0,0
1016,Jiri Vesely,Renzo Olivo,Outdoor,Hard,6,4,2,6,6,1
1017,Donald Young,Stefan Kozlov,Outdoor,Hard,7,5,7,6,0,0
1018,Mikhail Youzhny,Daniil Medvedev,Outdoor,Hard,6,4,6,4,0,0
1019,Horacio Zeballos,Marius Copil,Outdoor,Hard,6,7,7,6,6,4
1020,Nikoloz Basilashvili,Alexander Bublik,Outdoor,Hard,6,3,7,6,0,0
1021,Elias Ymer,Yoshihito Nishioka,Outdoor,Hard,6,3,6,1,0,0
1022,Radu Albot,Alex de Minaur,Outdoor,Hard,6,3,3,6,6,4
1023,Darian King,Mikhail Kukushkin,Outdoor,Hard,6,1,6,4,0,0
1024,Santiago Giraldo,Norbert Gombos,Outdoor,Hard,7,5,3,6,6,2
1025,Dusan Lajovic,Tobias Kamke,Outdoor,Hard,6,4,6,3,0,0
1026,Julien Benneteau,Illya Marchenko,Outdoor,Hard,6,4,6,4,0,0
1027,Marius Copil,Denis Kudla,Outdoor,Hard,7,6,6,3,0,0
1028,Henri Laaksonen,Dennis Novikov,Outdoor,Hard,4,6,6,4,6,0
1029,Vasek Pospisil,Rajeev Ram,Outdoor,Hard,4,6,6,3,6,2
1030,Federico Gaio,Andrew Whittington,Outdoor,Hard,6,2,7,5,0,0
1031,Peter Gojowczyk,Marco Trungelliti,Outdoor,Hard,6,2,2,6,6,3
1032,Nikoloz Basilashvili,Matthew Ebden,Outdoor,Hard,6,4,6,2,0,0
1033,Dennis Novikov,Denis Istomin,Outdoor,Hard,7,6,4,2,(,R
1034,Yoshihito Nishioka,Marcelo Arevalo,Outdoor,Hard,6,2,6,4,0,0
1035,Radu Albot,Vincent Millot,Outdoor,Hard,7,6,6,2,0,0
1036,Mikhail Kukushkin,Marcos Giron,Outdoor,Hard,6,3,6,3,0,0
1037,Rajeev Ram,Jared Donaldson,Outdoor,Hard,6,4,6,4,0,0
1038,Santiago Giraldo,Michael Mmoh,Outdoor,Hard,6,3,7,6,0,0
1039,Peter Gojowczyk,Ernesto Escobedo,Outdoor,Hard,6,3,6,3,0,0
1040,Dusan Lajovic,Ivan Dodig,Outdoor,Hard,5,7,7,5,6,0
1041,Illya Marchenko,Teymuraz Gabashvili,Outdoor,Hard,6,4,2,6,6,4
1042,Federico Gaio,Sergiy Stakhovsky,Outdoor,Hard,7,6,6,3,0,0
1043,Marius Copil,Lukas Rosol,Outdoor,Hard,7,6,6,2,0,0
1044,Norbert Gombos,Ruben Bemelmans,Outdoor,Hard,6,4,1,6,6,3
1045,Julien Benneteau,Sam Groth,Outdoor,Hard,6,4,7,6,0,0
1046,Marco Trungelliti,Jozef Kovalik,Outdoor,Hard,6,4,7,6,0,0
1047,Henri Laaksonen,Tim Smyczek,Outdoor,Hard,7,6,6,3,0,0
1048,Elias Ymer,Peter Polansky,Outdoor,Hard,7,6,6,3,0,0
1049,Vasek Pospisil,Mitchell Krueger,Outdoor,Hard,6,3,6,4,0,0
1050,Denis Kudla,Marton Fucsovics,Outdoor,Hard,6,3,6,3,0,0
1051,Darian King,Noah Rubin,Outdoor,Hard,6,4,6,4,0,0
1052,Tobias Kamke,Benjamin Becker,Outdoor,Hard,7,5,3,6,6,4
1053,Andrew Whittington,Andrey Rublev,Outdoor,Hard,6,3,6,1,0,0
1054,Alexander Bublik,Ernests Gulbis,Outdoor,Hard,6,4,7,6,0,0
1055,Alex de Minaur,Go Soeda,Outdoor,Hard,6,3,2,6,6,3
1056,Roger Federer,Rafael Nadal,Outdoor,Hard,6,3,6,4,0,0
1057,Roger Federer,Nick Kyrgios,Outdoor,Hard,7,6,6,7,7,6
1058,Rafael Nadal,Fabio Fognini,Outdoor,Hard,6,1,7,5,0,0
1059,Fabio Fognini,Kei Nishikori,Outdoor,Hard,6,4,6,2,0,0
1060,Roger Federer,Tomas Berdych,Outdoor,Hard,6,2,3,6,7,6
1061,Rafael Nadal,Jack Sock,Outdoor,Hard,6,2,6,3,0,0
1062,Nick Kyrgios,Alexander Zverev,Outdoor,Hard,6,4,6,7,6,3
1063,Alexander Zverev,Stan Wawrinka,Outdoor,Hard,4,6,6,2,6,1
1064,Kei Nishikori,Federico Delbonis,Outdoor,Hard,6,3,4,6,6,3
1065,Roger Federer,Roberto Bautista Agut,Outdoor,Hard,7,6,7,6,0,0
1066,Rafael Nadal,Nicolas Mahut,Outdoor,Hard,6,4,7,6,0,0
1067,Nick Kyrgios,David Goffin,Outdoor,Hard,7,6,6,3,0,0
1068,Tomas Berdych,Adrian Mannarino,Outdoor,Hard,6,3,7,5,0,0
1069,Jack Sock,Jared Donaldson,Outdoor,Hard,6,2,6,1,0,0
1070,Fabio Fognini,Donald Young,Outdoor,Hard,6,0,6,4,0,0
1071,Stan Wawrinka,Malek Jaziri,Outdoor,Hard,6,3,6,4,0,0
1072,Kei Nishikori,Fernando Verdasco,Outdoor,Hard,7,6,6,7,6,1
1073,Jared Donaldson,Milos Raonic,Outdoor,Hard,(,W,0,0,0,0
1074,Roger Federer,Juan Martin del Potro,Outdoor,Hard,6,3,6,4,0,0
1075,Rafael Nadal,Philipp Kohlschreiber,Outdoor,Hard,0,6,6,2,6,3
1076,David Goffin,Diego Schwartzman,Outdoor,Hard,4,6,6,3,7,5
1077,Tomas Berdych,Gilles Muller,Outdoor,Hard,6,3,6,4,0,0
1078,Nick Kyrgios,Ivo Karlovic,Outdoor,Hard,6,4,6,7,7,6
1079,Jack Sock,Jiri Vesely,Outdoor,Hard,6,3,7,6,0,0
1080,Roberto Bautista Agut,Sam Querrey,Outdoor,Hard,3,6,6,2,6,3
1081,Alexander Zverev,John Isner,Outdoor,Hard,6,7,7,6,7,6
1082,Federico Delbonis,Jan-Lennard Struff,Outdoor,Hard,7,6,6,1,0,0
1083,Fabio Fognini,Jeremy Chardy,Outdoor,Hard,3,6,6,4,6,4
1084,Nicolas Mahut,Guido Pella,Outdoor,Hard,6,4,6,3,0,0
1085,Adrian Mannarino,Borna Coric,Outdoor,Hard,6,4,2,6,7,6
1086,Donald Young,Benoit Paire,Outdoor,Hard,7,6,6,4,0,0
1087,Stan Wawrinka,Horacio Zeballos,Outdoor,Hard,6,3,6,4,0,0
1088,Kei Nishikori,Kevin Anderson,Outdoor,Hard,6,4,6,3,0,0
1089,Milos Raonic,Viktor Troicki,Outdoor,Hard,6,3,7,5,0,0
1090,Roger Federer,Frances Tiafoe,Outdoor,Hard,7,6,6,3,0,0
1091,Rafael Nadal,Dudi Sela,Outdoor,Hard,6,3,6,4,0,0
1092,Borna Coric,Dominic Thiem,Outdoor,Hard,6,1,7,5,0,0
1093,Jeremy Chardy,Marin Cilic,Outdoor,Hard,6,4,2,6,6,3
1094,David Goffin,Darian King,Outdoor,Hard,7,5,6,1,0,0
1095,Guido Pella,Grigor Dimitrov,Outdoor,Hard,6,3,7,6,0,0
1096,Tomas Berdych,Andrey Rublev,Outdoor,Hard,6,3,6,2,0,0
1097,Donald Young,Lucas Pouille,Outdoor,Hard,6,2,6,4,0,0
1098,Nick Kyrgios,Damir Dzumhur,Outdoor,Hard,6,4,6,3,0,0
1099,Jack Sock,Yoshihito Nishioka,Outdoor,Hard,2,4,(,R,0,0
1100,Roberto Bautista Agut,Mikhail Kukushkin,Outdoor,Hard,6,3,7,6,0,0
1101,Federico Delbonis,Pablo Carreno Busta,Outdoor,Hard,1,6,7,5,6,2
1102,Alexander Zverev,Yen-Hsun Lu,Outdoor,Hard,6,0,6,3,0,0
1103,Ivo Karlovic,Andrey Kuznetsov,Outdoor,Hard,7,6,6,1,0,0
1104,John Isner,Thomaz Bellucci,Outdoor,Hard,7,5,7,6,0,0
1105,Jiri Vesely,Albert Ramos-Vinolas,Outdoor,Hard,7,6,4,6,6,3
1106,Jan-Lennard Struff,Gilles Simon,Outdoor,Hard,6,1,6,1,0,0
1107,Benoit Paire,Pablo Cuevas,Outdoor,Hard,7,5,6,0,0,0
1108,Sam Querrey,Tommy Robredo,Outdoor,Hard,6,2,6,3,0,0
1109,Nicolas Mahut,Steve Johnson,Outdoor,Hard,6,4,5,7,6,4
1110,Gilles Muller,Andreas Seppi,Outdoor,Hard,7,6,7,6,0,0
1111,Fernando Verdasco,Ernesto Escobedo,Outdoor,Hard,7,6,7,5,0,0
1112,Philipp Kohlschreiber,Taylor Fritz,Outdoor,Hard,7,5,3,6,7,6
1113,Diego Schwartzman,David Ferrer,Outdoor,Hard,6,2,6,3,0,0
1114,Jared Donaldson,Mischa Zverev,Outdoor,Hard,6,4,6,4,0,0
1115,Juan Martin del Potro,Robin Haase,Outdoor,Hard,6,2,6,4,0,0
1116,Fabio Fognini,Joao Sousa,Outdoor,Hard,7,6,2,6,6,3
1117,Malek Jaziri,Feliciano Lopez,Outdoor,Hard,6,3,4,6,6,3
1118,Adrian Mannarino,Paolo Lorenzi,Outdoor,Hard,6,4,3,6,6,2
1119,Kevin Anderson,Dusan Lajovic,Outdoor,Hard,6,2,7,5,0,0
1120,Thomaz Bellucci,Stephane Robert,Outdoor,Hard,7,6,6,2,0,0
1121,Jeremy Chardy,Facundo Bagnis,Outdoor,Hard,6,2,6,2,0,0
1122,Borna Coric,Marcel Granollers,Outdoor,Hard,7,6,4,6,6,3
1123,Federico Delbonis,Juan Monaco,Outdoor,Hard,7,5,7,6,0,0
1124,Jared Donaldson,Kyle Edmund,Outdoor,Hard,2,6,7,6,6,2
1125,Damir Dzumhur,Hyeon Chung,Outdoor,Hard,3,6,6,1,7,6
1126,Ernesto Escobedo,Daniel Evans,Outdoor,Hard,7,5,0,6,6,3
1127,Fabio Fognini,Ryan Harrison,Outdoor,Hard,6,4,7,5,0,0
1128,Taylor Fritz,Adam Pavlasek,Outdoor,Hard,6,2,6,3,0,0
1129,Robin Haase,Mikael Ymer,Outdoor,Hard,7,5,7,6,0,0
1130,Malek Jaziri,Alexandr Dolgopolov,Outdoor,Hard,7,6,(,R,0,0
1131,Darian King,Lukas Lacko,Outdoor,Hard,7,6,6,4,0,0
1132,Mikhail Kukushkin,Mikhail Youzhny,Outdoor,Hard,6,4,6,1,0,0
1133,Andrey Kuznetsov,Denis Istomin,Outdoor,Hard,6,4,7,6,0,0
1134,Yen-Hsun Lu,Casper Ruud,Outdoor,Hard,6,2,6,1,0,0
1135,Nicolas Mahut,Michael Mmoh,Outdoor,Hard,6,3,6,2,0,0
1136,Adrian Mannarino,Benjamin Becker,Outdoor,Hard,7,6,6,3,0,0
1137,Yoshihito Nishioka,Jordan Thompson,Outdoor,Hard,1,6,6,4,6,3
1138,Benoit Paire,Martin Klizan,Outdoor,Hard,7,6,6,3,0,0
1139,Guido Pella,Tim Smyczek,Outdoor,Hard,3,6,6,4,7,6
1140,Tommy Robredo,Nikoloz Basilashvili,Outdoor,Hard,3,6,6,4,6,2
1141,Andrey Rublev,Florian Mayer,Outdoor,Hard,6,1,6,1,0,0
1142,Diego Schwartzman,Karen Khachanov,Outdoor,Hard,6,4,3,6,7,6
1143,Dudi Sela,Christian Harrison,Outdoor,Hard,6,1,6,1,0,0
1144,Andreas Seppi,Radu Albot,Outdoor,Hard,6,4,6,4,0,0
1145,Jan-Lennard Struff,Aljaz Bedene,Outdoor,Hard,7,5,4,0,(,R
1146,Frances Tiafoe,Konstantin Kravchuk,Outdoor,Hard,7,5,5,7,6,1
1147,Viktor Troicki,Thiago Monteiro,Outdoor,Hard,5,7,6,3,6,1
1148,Jiri Vesely,Tommy Haas,Outdoor,Hard,6,7,6,3,7,5
1149,Donald Young,Dustin Brown,Outdoor,Hard,6,3,1,6,6,2
1150,Horacio Zeballos,Gastao Elias,Outdoor,Hard,6,7,6,2,7,5
1151,Benjamin Becker,Mikhail Youzhny,Outdoor,Hard,1,6,6,3,6,2
1152,Christian Harrison,Rogerio Dutra Silva,Outdoor,Hard,7,5,6,2,0,0
1153,Frances Tiafoe,Mathias Bourgue,Outdoor,Hard,4,6,6,4,6,4
1154,Radu Albot,Sergiy Stakhovsky,Outdoor,Hard,4,6,6,2,6,4
1155,Ernesto Escobedo,Renzo Olivo,Outdoor,Hard,7,5,6,3,0,0
1156,Mikhail Kukushkin,Norbert Gombos,Outdoor,Hard,6,4,6,1,0,0
1157,Jared Donaldson,Stefan Kozlov,Outdoor,Hard,7,5,6,3,0,0
1158,Dusan Lajovic,Nicolas Kicker,Outdoor,Hard,6,4,6,3,0,0
1159,Lukas Lacko,Miomir Kecmanovic,Outdoor,Hard,6,3,6,2,0,0
1160,Aljaz Bedene,Tobias Kamke,Outdoor,Hard,6,2,6,3,0,0
1161,Darian King,Reilly Opelka,Outdoor,Hard,(,W,0,0,0,0
1162,Tim Smyczek,Ruben Bemelmans,Outdoor,Hard,7,5,6,1,0,0
1163,Tobias Kamke,Pierre-Hugues Herbert,Outdoor,Hard,3,6,6,3,7,5
1164,Mikhail Youzhny,Vincent Millot,Outdoor,Hard,6,4,4,6,7,6
1165,Rogerio Dutra Silva,Lukas Rosol,Outdoor,Hard,6,4,3,6,7,6
1166,Frances Tiafoe,Teymuraz Gabashvili,Outdoor,Hard,7,6,6,3,0,0
1167,Radu Albot,Elias Ymer,Outdoor,Hard,6,2,5,1,(,R
1168,Renzo Olivo,Alexander Bublik,Outdoor,Hard,7,5,6,7,6,1
1169,Mikhail Kukushkin,Peter Gojowczyk,Outdoor,Hard,6,4,(,R,0,0
1170,Jared Donaldson,Yibing Wu,Outdoor,Hard,6,2,6,2,0,0
1171,Nicolas Kicker,Andrew Whittington,Outdoor,Hard,7,6,7,6,0,0
1172,Lukas Lacko,Vasil Kirkov,Outdoor,Hard,6,4,4,6,6,4
1173,Tim Smyczek,Santiago Giraldo,Outdoor,Hard,6,4,6,3,0,0
1174,Ernesto Escobedo,Denis Kudla,Outdoor,Hard,6,3,6,2,0,0
1175,Aljaz Bedene,Federico Gaio,Outdoor,Hard,6,4,6,3,0,0
1176,Dusan Lajovic,Grega Zemlja,Outdoor,Hard,6,3,(,R,0,0
1177,Sergiy Stakhovsky,Ernests Gulbis,Outdoor,Hard,6,7,6,4,6,0
1178,Reilly Opelka,Marius Copil,Outdoor,Hard,6,4,7,6,0,0
1179,Mathias Bourgue,Bjorn Fratangelo,Outdoor,Hard,6,3,2,1,(,R
1180,Norbert Gombos,Quentin Halys,Outdoor,Hard,6,4,1,6,7,6
1181,Stefan Kozlov,Nicola Kuhn,Outdoor,Hard,6,3,3,6,6,3
1182,Ruben Bemelmans,Jozef Kovalik,Outdoor,Hard,1,6,7,5,6,3
1183,Miomir Kecmanovic,Henri Laaksonen,Outdoor,Hard,6,2,6,4,0,0
1184,Christian Harrison,Peter Polansky,Outdoor,Hard,6,4,6,2,0,0
1185,Benjamin Becker,Joao Souza,Outdoor,Hard,6,4,6,7,7,5
1186,Darian King,Ivan Dodig,Outdoor,Hard,6,4,5,7,6,0
1187,Steve Johnson,Thomaz Bellucci,Outdoor,Clay,6,4,4,6,7,6
1188,Steve Johnson,Jack Sock,Outdoor,Clay,4,6,6,4,6,3
1189,Thomaz Bellucci,Ernesto Escobedo,Outdoor,Clay,5,7,6,4,6,2
1190,Jack Sock,Feliciano Lopez,Outdoor,Clay,7,6,1,6,6,4
1191,Ernesto Escobedo,John Isner,Outdoor,Clay,7,6,6,7,7,6
1192,Thomaz Bellucci,Sam Querrey,Outdoor,Clay,6,4,3,6,6,3
1193,Steve Johnson,Fernando Verdasco,Outdoor,Clay,6,2,6,4,0,0
1194,Jack Sock,Tommy Haas,Outdoor,Clay,6,4,3,6,6,3
1195,John Isner,Leonardo Mayer,Outdoor,Clay,6,7,7,6,6,3
1196,Sam Querrey,Horacio Zeballos,Outdoor,Clay,6,4,6,4,0,0
1197,Steve Johnson,Dustin Brown,Outdoor,Clay,7,6,6,4,0,0
1198,Fernando Verdasco,Nicolas Kicker,Outdoor,Clay,7,6,6,1,0,0
1199,Feliciano Lopez,Hyeon Chung,Outdoor,Clay,4,6,6,2,6,1
1200,Thomaz Bellucci,Maximo Gonzalez,Outdoor,Clay,2,6,7,6,6,2
1201,Ernesto Escobedo,Thiago Monteiro,Outdoor,Clay,4,6,6,4,6,4
1202,Fernando Verdasco,Kevin Anderson,Outdoor,Clay,7,6,7,6,0,0
1203,Feliciano Lopez,Bjorn Fratangelo,Outdoor,Clay,7,5,6,4,0,0
1204,Thiago Monteiro,Donald Young,Outdoor,Clay,6,3,6,4,0,0
1205,Thomaz Bellucci,Frances Tiafoe,Outdoor,Clay,7,5,1,6,6,2
1206,Dustin Brown,Juan Monaco,Outdoor,Clay,7,6,6,3,0,0
1207,Hyeon Chung,Victor Estrella Burgos,Outdoor,Clay,6,4,5,7,6,4
1208,Ernesto Escobedo,Tennys Sandgren,Outdoor,Clay,6,3,6,3,0,0
1209,Maximo Gonzalez,Jared Donaldson,Outdoor,Clay,6,4,5,7,6,3
1210,Tommy Haas,Reilly Opelka,Outdoor,Clay,7,6,4,6,6,3
1211,Nicolas Kicker,Noah Rubin,Outdoor,Clay,5,3,(,R,0,0
1212,Leonardo Mayer,Adam Pavlasek,Outdoor,Clay,5,7,6,2,6,1
1213,Horacio Zeballos,Rogerio Dutra Silva,Outdoor,Clay,6,2,7,5,0,0
1214,Leonardo Mayer,Denis Kudla,Outdoor,Clay,3,6,6,4,6,4
1215,Maximo Gonzalez,Benjamin Becker,Outdoor,Clay,6,3,6,2,0,0
1216,Tennys Sandgren,Teymuraz Gabashvili,Outdoor,Clay,6,3,6,2,0,0
